# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	577
#@/user_id	bf0c8134-52bc-4b1c-a9df-bd5224475e73
bian huan 	變換	c=2 d=0.0930145 t=577
bian jie 	邊界	c=4 d=0.00151267 t=577
bian le 	變了	c=1 d=0.0485578 t=577
bian liang 	變量	c=2 d=0.156802 t=577
bian ma 	編碼	c=3 d=0.268655 t=577
bian tian 	變天	c=1 d=0.174645 t=577
bian yi 	編譯	c=3 d=0.941765 t=577
bian yi 	變異	c=1 d=0.0625073 t=577
bian yi chu cuo 	變異出錯	c=1 d=0.585669 t=577
bian yuan 	邊緣	c=1 d=2.79526e-05 t=577
bian zhe 	變着	c=1 d=0.0464212 t=577
biao ge 	表格	c=1 d=0.000214973 t=577
biao ji 	標記	c=2 d=1.23875e-05 t=577
biao qian 	標籤	c=1 d=0.946485 t=577
biao shi 	表示	c=1 d=1.21279e-05 t=577
bie chu 	別處	c=1 d=0.371577 t=577
bie de 	別的	c=1 d=0.472367 t=577
bie ren 	別人	c=1 d=0.00122826 t=577
bie shuo 	別說	c=1 d=0.0014018 t=577
bing 	並	c=1 d=6.97914e-05 t=577
bing bu shi 	並不是	c=1 d=0.119433 t=577
bing dong 	冰凍	c=1 d=0.00116443 t=577
bing dong fa shu 	冰凍法術	c=1 d=0.000620491 t=577
bing mei you 	並沒有	c=1 d=0.000575656 t=577
bing wu 	並無	c=1 d=6.90969e-05 t=577
bing zhong 	兵種	c=2 d=0.00139224 t=577
bo 	博	c=1 d=7.86896e-05 t=577
bo 	薄	c=1 d=1 t=520
bo fang 	播放	c=2 d=1.99005 t=577
bo fang qi 	播放器	c=3 d=2.865 t=577
bu 	不	c=12 d=1.31997 t=577
bu 	布	c=1 d=0.00166156 t=577
bu 	補	c=1 d=0.00822975 t=577
bu ai guo 	不愛國	c=1 d=1 t=577
bu an 	不安	c=1 d=0.722527 t=577
bu chang 	步長	c=1 d=5.58738e-06 t=577
bu chang 	補償	c=1 d=1 t=577
bu cuo 	不錯	c=3 d=1.00485 t=577
bu dao 	不倒	c=1 d=1 t=577
bu de 	不得	c=3 d=0.0729545 t=577
bu de bu 	不得不	c=1 d=0.51178 t=577
bu de bu shuo 	不得不說	c=3 d=1.04157 t=577
bu de liao 	不得了	c=0 d=0.1 t=577
bu dei 	不得	c=2 d=0.00328283 t=577
bu diao 	不掉	c=0 d=0.00422141 t=577
bu diao xian 	不掉先	c=1 d=0.0424257 t=577
